area1,district,building_type,year,price,rooms_count,no_first_no_last,area3_bins
55.7,Приокский район,кирпич,1958.0,6900000,2.0,True,1.0
36.0,Автозаводский район,кирпич,1986.0,4300000,1.0,False,1.0
33.0,Автозаводский район,панель,1963.0,4300000,1.0,True,1.0
46.6,Автозаводский район,блок+утеплитель,2026.0,7782200,1.0,True,0.0
85.5,Автозаводский район,панель,1982.0,9450000,4.0,True,1.0
40.7,Нижегородский район,блок+утеплитель,2010.0,7150000,1.0,True,2.0
42.6,Московский район,кирпич,1966.0,3750000,2.0,False,1.0
34.4,Другой,блок+утеплитель,2014.0,4200000,1.0,False,2.0
52.6,Автозаводский район,панель,1999.0,5700000,2.0,False,1.0
31.5,Советский район,панель,1966.0,4500000,1.0,False,1.0
34.5,Сормовский район,панель,1975.0,4999999,1.0,True,2.0
57.4,Автозаводский район,панель,1971.0,6600000,3.0,True,1.0
62.0,Сормовский район,панель,1968.0,6900000,3.0,True,1.0
45.4,Нижегородский район,кирпич,1972.0,7400000,2.0,False,1.0
40.0,Ленинский район,кирпич,1961.0,4600000,2.0,True,1.0
46.7,Приокский район,кирпич,1971.0,5000000,2.0,False,1.0
26.0,Канавинский район,кирпич,1961.0,4400000,1.0,False,1.0
48.9,Сормовский район,панель,1974.0,4950000,3.0,True,1.0
41.1,Советский район,кирпич,1975.0,7950000,2.0,True,1.0
54.5,Сормовский район,панель,1978.0,5200000,3.0,True,1.0
40.0,Сормовский район,панель,1972.0,4500000,2.0,False,1.0
35.6,Другой,кирпич,1940.0,1800000,1.0,False,3.0
47.7,Автозаводский район,панель,1971.0,4750000,2.0,True,1.0
79.0,Сормовский район,панель,1977.0,8900000,4.0,True,2.0
100.9,Сормовский район,кирпич,1995.0,8100000,4.0,False,2.0
32.0,Московский район,кирпич,1961.0,3700000,1.0,False,1.0
63.3,Сормовский район,панель,1973.0,6100000,3.0,False,1.0
43.0,Канавинский район,кирпич,1962.0,6500000,2.0,True,1.0
40.0,Автозаводский район,кирпич,1966.0,5100000,2.0,False,1.0
49.0,Сормовский район,кирпич,1985.0,4500000,2.0,True,1.0
38.7,Другой,кирпич,2023.0,3500000,1.0,True,2.0
50.9,Московский район,панель,1979.0,4350000,2.0,True,1.0
42.7,Другой,кирпич,1960.0,4100000,2.0,False,1.0
64.2,Другой,кирпич,1957.0,5100000,3.0,True,1.0
31.2,Другой,блок+утеплитель,2018.0,3600000,1.0,False,1.0
40.0,Другой,кирпич,1968.0,3050000,2.0,False,1.0
45.5,Другой,панель,1978.0,6300000,1.0,True,2.0
54.5,Советский район,кирпич,1965.0,6300000,3.0,True,1.0
52.0,Нижегородский район,кирпич,1959.0,6600000,3.0,False,1.0
67.8,Канавинский район,панель,1982.0,7200000,3.0,True,1.0
57.8,Канавинский район,панель,1979.0,7400000,3.0,False,1.0
20.0,Автозаводский район,кирпич,1987.0,2600000,1.0,False,1.0
47.0,Канавинский район,панель,1982.0,5800000,2.0,True,1.0
44.0,Советский район,блок+утеплитель,2022.0,6750000,1.0,True,2.0
46.0,Другой,панель,1969.0,4300000,2.0,True,1.0
54.0,Другой,кирпич,1952.0,4150000,2.0,True,1.0
57.6,Другой,кирпич,1974.0,4900000,3.0,False,1.0
31.5,Другой,панель,1983.0,2999999,1.0,True,1.0
58.6,Другой,панель,1981.0,4270000,4.0,True,1.0
59.0,Другой,панель,1968.0,5200000,3.0,False,1.0
44.0,Другой,кирпич,1967.0,3790000,2.0,False,1.0
41.0,Другой,кирпич,1959.0,3590000,2.0,False,1.0
41.4,Канавинский район,кирпич,1966.0,4000000,2.0,True,1.0
32.0,Советский район,кирпич,1958.0,4700000,1.0,False,1.0
31.2,Другой,кирпич,1969.0,3100000,1.0,True,1.0
17.4,Автозаводский район,панель,2020.0,3650000,0.8,True,0.0
31.4,Ленинский район,кирпич,1961.0,4250000,2.0,True,1.0
55.8,Автозаводский район,кирпич,1965.0,5900000,3.0,False,1.0
57.7,Советский район,панель,1976.0,8100000,3.0,False,1.0
57.4,Другой,кирпич,1958.0,4250000,2.0,True,2.0
63.5,Канавинский район,кирпич,1970.0,5300000,3.0,False,1.0
30.3,Ленинский район,панель,1968.0,4100000,1.0,False,1.0
39.71,Автозаводский район,блок+утеплитель,2024.0,7000000,1.0,True,2.0
46.0,Ленинский район,панель,1968.0,5400000,2.0,True,1.0
73.4,Московский район,кирпич,1984.0,7400000,4.0,True,1.0
42.8,Автозаводский район,панель,1990.0,6000000,2.0,True,1.0
30.7,Автозаводский район,блок+утеплитель,2011.0,4430000,1.0,True,1.0
20.5,Автозаводский район,кирпич,2019.0,3850000,0.8,True,0.0
60.5,Приокский район,шлакоблок,1950.0,4700000,3.0,False,1.0
